"X","tweet","date","DailyChange","toneofdocument"
0,"with even literally great game the dollar short indeed great use indeed the economy make useful product provide great service actually matter would better small fee fee latter make beholden big trading house get pay bill somehow even fee here come apologist give respect get","2021-01-28",-0.0065,0.714285714285714
1,"it fill art berlin progress work super hard ensure implant safety close communication if thing go well might able initial human trial later year","2021-02-01",0.0058,0.6
2,"yes it true josh yeah by default engine least lever arm would shut good yes engine min throttle point risk land engine mean high thrust weight away hover point also risky yes it foolish u start engine immediately shut need land","2021-02-04",-0.0059,-0.6
3,"the entertaining outcome likely just send just agree clubhouse it get real","2021-02-10",0.0095,1
4,"great interview doge underestimate congratulation china amazing execution last year now next even happy new year ox","2021-02-11",-0.0128,0.6
5,"cover snow ice road mostly close power there definitely sound like","2021-02-16",-0.0215,1
6,"south central provide direct assistance feasible save cold turtle help power water treatment plant please let u know may helpful way","2021-02-18",0.0097,0.333333333333333
7,"we much product complexity already tunnel hopefully later year late year it still available menu i think range many drive condition yet meet standard excellence the solar roof slightly hydrophobic water snow ice slide easily","2021-02-22",-0.0733,1
8,"jeff rocket ridiculously hard sigh","2021-02-24",-0.0214,-1
9,"we use catapult air mattress land roof base jump nickel big concern scale lithium ion cell production that shift standard range car iron cathode plenty iron lithium absolutely shut two day part shortage restart yesterday this win anyone we production limit the reason make cell supplement production supplier even move full speed can not build enough cell i hope it would awesome price u good include vat usually include country then import duty transport cost the intent revenue roughly similar country tax tariff transport make difference","2021-02-25",0.0261,0.142857142857143
10,"note still well long term deal subscription sure green egg look familiar nonetheless right move rocket lab china team rock doge shield legendary item new drug come call pop one regret go always wonder exactly game character keep stuff ahem","2021-03-01",-2e-04,0.6
11,"space from thence mar and hence star an area much large very much leader shall the doge create city cool horse even self drive get room","2021-03-02",0.0023,0
12,"launch abort slightly conservative high thrust limit increase thrust limit recycle propellant another flight attempt today min starship test flight attempt","2021-03-03",0.004,-1
13,"ford go bankrupt car easy production hard cash flow positive excruciating","2021-03-04",0.0074,-0.2
14,"not connect car terminal much big this aircraft ship large truck","2021-03-08",0.0802,NA
15,"fair point if autogenous use bubble would likely revert liquid helium header use prevent ullage collapse slosh happen prior flight my fault approve sound good time engine low thrust due probably partial helium ingestion fuel header tank impact crush leg part skirt multiple work","2021-03-09",0.0397,-0.111111111111111
16,"doge i selling song","2021-03-15",-0.0065,NA
17,"actually feel quite right selling will pass","2021-03-16",-0.0296,1
18,"we need launch tower hook height lift booster ship need stabilize stage separation joint yes booster production pathfinder figure build transport meter tall stage booster fly first super heavy booster sometimes doge","2021-03-18",-0.01,1
19,"wow shame","2021-03-24",-0.0274,0
20,"shame onion this people switch my father extend family dependent financial support brother year this article actually accurate this article false i arrive canada ca pay way college end student debt start company one computer i build there evidence whatsoever emerald mine","2021-03-25",0.0023,-0.2
21,"that would great possibly via video full access telemetry","2021-03-29",-0.0156,1
22,"can little foggy sometimes barely scratch back stand soon will report conclusion soon know","2021-03-30",0.0173,-1
23,"true over people need min airport min downtown right colorado river","2021-03-31",0.0306,1
24,"tank lake","2021-04-06",-0.0067,-1
25,"a tidal wave vaccine produce probably j j good some debate whether second synthetic shot really need first brainer latter to clear i support vaccine general covid vaccine specifically the science unequivocal in rare case allergic reaction easily address need moon mar global orbit key metric burton nice ideal scenario catch starship horizontal glide land burn although quite challenge tower next best catch tower emergency pad land mode skirt starship booster large fly object ever design caught sky launch tower big step forward do hour well write fair much like article space","2021-04-07",0.0096,0.333333333333333
26,"look pup soon shock absorption build tower arm since tower ground side use lot mass arrest booster downward momentum load point grid fin just one skyscraper catch another","2021-04-08",-0.0088,-1
27,"thanks cast writer crew honor pleasure show","2021-05-10",-0.0474,1
28,"","2021-05-11",-0.0238,NA
29,"","2021-05-12",0.0197,NA
30,"a always ground station data center significantly improve latency jitter data go user terminal server without touch work doge improve system transaction efficiency potentially promising id aa i lot respect anyone ship useful product scale it insanely hard work to clear i strongly believe drive massive increase fossil fuel use especially coal it high time carbon tax","2021-05-13",0.0205,0.333333333333333
31,"i would like second congratulation outstanding accomplishment china","2021-05-19",0.0205,1
32,"ideally calculated total energy use system divide transaction rate yes rocket thruster option package it safe intense probably wise medical condition roller coaster hash aka mining energy usage start exceed medium size country almost impossible small succeed without massive economy scale i agree do time recent extreme energy usage growth could possibly do fast this question easily resolve top hash post audit number renewable energy v yeah i sell doge a supporter give doge dollar sticker berlin oh sorry yes roadster thruster plaid plaid indeed close theoretical maximum roadworthy car without special device it high pressure air rocket thruster behind license plate flip bong bong good idea sure","2021-05-20",0.0159,0.5
33,"they tell would appreciate help someone suggest change fee base phase moon pretty awesome if like help develop doge please submit idea speak north miner they commit publish current plan renewable usage ask miner potentially promising","2021-05-24",0.0014,1
34,"please note formal organization one report ability take action limit","2021-05-25",0.0047,-1
35,"archive if spaceship still around deep not sure write accurate","2021-05-26",0.0018,1
36,"sure would appreciate change law require exactly","2021-05-27",-0.0037,1
37,"when i visit japan later year baby shark crush more view human","2021-06-01",-0.006,-1
38,"engineer fee","2021-06-03",0.012,NA
39,"well say the long term strength technology","2021-06-07",0.0295,1
40,"exactly now i make improvement i pretty sure worth my primary home literally house i rent it awesome though only house i event house bay area if i sell house would see less use unless buy big family might happen day yeah sell house except bay area rent event work sustainable energy earth protect future consciousness make life also ai risk mitigation fix traffic bore exactly only time i sell stock stock option expire i choice i continue pay income tax proportionate time state significant not even good fake anonymous the article behind look like anonymous hack skill enough get behind team great","2021-06-09",0.0085,0.444444444444444
41,"people like mission move starship useful mass orbit primary figure merit","2021-06-10",2e-04,1
42,"true somewhat overcompensate antenna capability will work turn near destination","2021-06-15",-0.003,1
43,"let skip original video game movie go straight sequel geek massive increase supercharger network underway","2021-06-16",-0.0049,NA
44,"real pic ship next bar right true steam engine even well i drive yoke great progressive steering would require complex gear drive wire without direct mechanical link will aim year congratulation great achievement we might use hypersonic flight test fair enough","2021-06-17",-0.0052,0.8
45,"very sorry hear condolence family round close last hour last day possible payroll would bounce day later i give last cash even house anything sellable look hold ai day month will go progress ai hardware train inference purpose recruit physical world sigh in general anyone interested work physical word ai problem consider join fast path deploy idea","2021-06-21",-0.0042,0.2
46,"good chart this major reason move orbit atmosphere automatically clear low altitude within year space junk can not accumulate","2021-06-23",0.0281,0.333333333333333
47,"thanks happy birthday wish","2021-06-28",-0.0059,1
